"","...1","category","name","reviewer","review","date","ratings"
"12",12,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","S","Lasts long before getting outdated and old","Reviewed in the United Kingdom on 2 March 2024","5.0 out of 5 stars"
"13",13,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","Keef - Bristol","They're good. Soft, comfy. They bounce back. Thinner than I thought they would be though. Good price.","Reviewed in the United Kingdom on 18 January 2024","3.0 out of 5 stars"
"14",14,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","Monica Khan","Very comfortable pillows nice and firm great value","Reviewed in the United Kingdom on 21 February 2024","5.0 out of 5 stars"
"15",15,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","Lee","Expensive product and the length seems shorter than average pillows.Not stuffed very much so quite flat even after buffing them up.I got the 6 pack for £50ish and once laid on top of each other it’s more like I’ve got 4 normal pillows.Disappointed.","Reviewed in the United Kingdom on 9 January 2024","5.0 out of 5 stars"
"16",16,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","Brian meldrum","Nice soft pillows that are keeping there shape","Reviewed in the United Kingdom on 28 February 2024","4.0 out of 5 stars"
"17",17,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","S","Lovely springy pillows, good value","Reviewed in the United Kingdom on 2 March 2024","5.0 out of 5 stars"
"18",18,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","Monroe","The pillows are nice and soft which is great for my head, however the pillows look nothing alike the pictures I’m thinking maybe these are standard ultrabounce rather than luxury…","Reviewed in the United Kingdom on 8 March 2024","3.0 out of 5 stars"
"19",19,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","love to shop","Good pillows a little soft for my liking but that just my preference","Reviewed in the United Kingdom on 29 February 2024","5.0 out of 5 stars"
"20",20,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","Joe","Fantastic item for my sleeping needs","Reviewed in the United Kingdom on 29 November 2023","5.0 out of 5 stars"
"21",21,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","Keef - Bristol","Ive bought a few diff pillows, trying to get the ''just right'' feeling... These are wonderful, super soft yet a little bouncy.. my neck pain is finally easing after over a year of neck pain, and I know its related to my pillows as I was going to bed ok and each morning... stiff neck and eventually painful.. these are perfect and great value..","Reviewed in the United Kingdom on 18 January 2024","4.4 out of 5 stars"
"22",22,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","S","Lasts long before getting outdated and old","Reviewed in the United Kingdom on 2 March 2024","5.0 out of 5 stars"
"23",23,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","Keef - Bristol","They're good. Soft, comfy. They bounce back. Thinner than I thought they would be though. Good price.","Reviewed in the United Kingdom on 18 January 2024","3.0 out of 5 stars"
"24",24,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","Monica Khan","Very comfortable pillows nice and firm great value","Reviewed in the United Kingdom on 21 February 2024","5.0 out of 5 stars"
"25",25,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","Lee","Expensive product and the length seems shorter than average pillows.Not stuffed very much so quite flat even after buffing them up.I got the 6 pack for £50ish and once laid on top of each other it’s more like I’ve got 4 normal pillows.Disappointed.","Reviewed in the United Kingdom on 9 January 2024","5.0 out of 5 stars"
"26",26,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","Brian meldrum","Nice soft pillows that are keeping there shape","Reviewed in the United Kingdom on 28 February 2024","4.0 out of 5 stars"
"27",27,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","S","Lovely springy pillows, good value","Reviewed in the United Kingdom on 2 March 2024","5.0 out of 5 stars"
"28",28,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","Monroe","The pillows are nice and soft which is great for my head, however the pillows look nothing alike the pictures I’m thinking maybe these are standard ultrabounce rather than luxury…","Reviewed in the United Kingdom on 8 March 2024","3.0 out of 5 stars"
"29",29,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","love to shop","Good pillows a little soft for my liking but that just my preference","Reviewed in the United Kingdom on 29 February 2024","5.0 out of 5 stars"
"30",30,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","Joe","Fantastic item for my sleeping needs","Reviewed in the United Kingdom on 29 November 2023","5.0 out of 5 stars"
"31",31,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","A&N","Just like in a hotel such as premier inn, these pillows are exactly what I wanted. Soft but supportive and comfy. Relatively good value for money.","Reviewed in the United Kingdom on 2 March 2024","4.4 out of 5 stars"
"32",32,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","David","Really nice great quality 👌","Reviewed in the United Kingdom on 11 January 2024","5.0 out of 5 stars"
"33",33,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","A&N","Brilliant pillows, soft, comfortable and easily to go to sleep on.Would recommend them.","Reviewed in the United Kingdom on 2 March 2024","3.0 out of 5 stars"
"34",34,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Zain","replaced old pillows very comfortable.","Reviewed in the United Kingdom on 11 January 2024","5.0 out of 5 stars"
"35",35,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Annette Sherwood","great pillows, put them on my bed and had the best nights sleep ive had for years.","Reviewed in the United Kingdom on 7 January 2024","5.0 out of 5 stars"
"36",36,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","gus","Pillows compressed within a month and became less comfortable.Delivered in a permeable fabric bag without any other packaging so not very hygienic.","Reviewed in the United Kingdom on 22 February 2024","4.0 out of 5 stars"
"37",37,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","dillydally","Like sleeping on a cloud.","Reviewed in the United Kingdom on 26 February 2024","5.0 out of 5 stars"
"38",38,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","David","My pillowcases doesn’t fit the pillows properly I had to squeeze them in?. I will have to purchase knew pillowcases bigger ones for comfort.Overall the pillows where comfortable.","Reviewed in the United Kingdom on 11 January 2024","5.0 out of 5 stars"
"39",39,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Joanne bennett","I got these a couple of days ago and so far I am liking them, they are soft and comfortable. Can't comment on how long they will hold their shape for though","Reviewed in the United Kingdom on 19 February 2024","3.0 out of 5 stars"
"40",40,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Christine Lyttle","Very nice","Reviewed in the United Kingdom on 12 February 2024","5.0 out of 5 stars"
"41",41,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","A&N","Just like in a hotel such as premier inn, these pillows are exactly what I wanted. Soft but supportive and comfy. Relatively good value for money.","Reviewed in the United Kingdom on 2 March 2024","4.4 out of 5 stars"
"42",42,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","David","Really nice great quality 👌","Reviewed in the United Kingdom on 11 January 2024","5.0 out of 5 stars"
"43",43,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","A&N","Brilliant pillows, soft, comfortable and easily to go to sleep on.Would recommend them.","Reviewed in the United Kingdom on 2 March 2024","3.0 out of 5 stars"
"44",44,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Zain","replaced old pillows very comfortable.","Reviewed in the United Kingdom on 11 January 2024","5.0 out of 5 stars"
"45",45,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Annette Sherwood","great pillows, put them on my bed and had the best nights sleep ive had for years.","Reviewed in the United Kingdom on 7 January 2024","5.0 out of 5 stars"
"46",46,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","gus","Pillows compressed within a month and became less comfortable.Delivered in a permeable fabric bag without any other packaging so not very hygienic.","Reviewed in the United Kingdom on 22 February 2024","4.0 out of 5 stars"
"47",47,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","dillydally","Like sleeping on a cloud.","Reviewed in the United Kingdom on 26 February 2024","5.0 out of 5 stars"
"48",48,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","David","My pillowcases doesn’t fit the pillows properly I had to squeeze them in?. I will have to purchase knew pillowcases bigger ones for comfort.Overall the pillows where comfortable.","Reviewed in the United Kingdom on 11 January 2024","5.0 out of 5 stars"
"49",49,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Joanne bennett","I got these a couple of days ago and so far I am liking them, they are soft and comfortable. Can't comment on how long they will hold their shape for though","Reviewed in the United Kingdom on 19 February 2024","3.0 out of 5 stars"
"50",50,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Christine Lyttle","Very nice","Reviewed in the United Kingdom on 12 February 2024","5.0 out of 5 stars"
"51",51,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","A&N","Just like in a hotel such as premier inn, these pillows are exactly what I wanted. Soft but supportive and comfy. Relatively good value for money.","Reviewed in the United Kingdom on 2 March 2024","4.4 out of 5 stars"
"52",52,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","David","Really nice great quality 👌","Reviewed in the United Kingdom on 11 January 2024","5.0 out of 5 stars"
"53",53,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","A&N","Brilliant pillows, soft, comfortable and easily to go to sleep on.Would recommend them.","Reviewed in the United Kingdom on 2 March 2024","3.0 out of 5 stars"
"54",54,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Zain","replaced old pillows very comfortable.","Reviewed in the United Kingdom on 11 January 2024","5.0 out of 5 stars"
"55",55,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Annette Sherwood","great pillows, put them on my bed and had the best nights sleep ive had for years.","Reviewed in the United Kingdom on 7 January 2024","5.0 out of 5 stars"
"56",56,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","gus","Pillows compressed within a month and became less comfortable.Delivered in a permeable fabric bag without any other packaging so not very hygienic.","Reviewed in the United Kingdom on 22 February 2024","4.0 out of 5 stars"
"57",57,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","dillydally","Like sleeping on a cloud.","Reviewed in the United Kingdom on 26 February 2024","5.0 out of 5 stars"
"58",58,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","David","My pillowcases doesn’t fit the pillows properly I had to squeeze them in?. I will have to purchase knew pillowcases bigger ones for comfort.Overall the pillows where comfortable.","Reviewed in the United Kingdom on 11 January 2024","5.0 out of 5 stars"
"59",59,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Joanne bennett","I got these a couple of days ago and so far I am liking them, they are soft and comfortable. Can't comment on how long they will hold their shape for though","Reviewed in the United Kingdom on 19 February 2024","3.0 out of 5 stars"
"60",60,"Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Christine Lyttle","Very nice","Reviewed in the United Kingdom on 12 February 2024","5.0 out of 5 stars"
"61",61,"Pillow","Silentnight Deep Sleep Pillows 4 Pack - Medium Support Bed Pillows for Side, Front, Stomach and Back Sleepers Comfortable - Machine Washable and Hypoallergenic - Pack of 4","C. J. Elliott","The pillows turn up compressed to save space. I thought I could simply fluff the pillows up to get them back to their proper conditionThat doesn't fully work, so, I thought I had bought some very thin, hard pillowsI needed to use 2 pillows(I'm a side sleeper), but as the days progressed the pillows expanded, and became softer, so I ended up using only 1 after a weekSo, that all said, how are they?For me, pretty perfect - cool, firm enough to support my head and neck, but soft enough to be comfortableRecommended","Reviewed in the United Kingdom on 4 March 2024","4.4 out of 5 stars"
"62",62,"Pillow","Silentnight Deep Sleep Pillows 4 Pack - Medium Support Bed Pillows for Side, Front, Stomach and Back Sleepers Comfortable - Machine Washable and Hypoallergenic - Pack of 4","rubyslippers","The Silentnight Deep Sleep Firm Pillows have become a staple in my quest for a restful night's sleep. Offering firm support, these pillows are a commendable choice for those who appreciate a more structured and supportive feel during their slumber.The standout feature of these pillows is, without a doubt, the firmness. If you're seeking a pillow that doesn't flatten out under the weight of your head, these may be the ones for you. The firm support provides a noticeable lift, promoting a comfortable alignment for a variety of sleeping positions.The hypoallergenic filling is a reassuring aspect, especially for allergy-prone sleepers like myself. The pillows maintain their shape well, and the durable construction suggests they can withstand regular use without losing their supportive qualities.In terms of comfort, the pillows strike a balance. While the firmness is evident, they still manage to offer a certain level of softness. It's a pleasant middle ground that caters to individuals who prefer both support and a touch of plushness.The pillow covers are made from a soft and breathable material, enhancing the overall sleep experience. The two-pack provides convenience for those who like to switch out their pillows or have a spare for guests.However, it's worth noting that the firmness might not be suitable for everyone. If you prefer a softer, more malleable pillow, these might feel a bit too unyielding.In conclusion, the Silentnight Deep Sleep Firm Pillows deliver on their promise of firm support. While they may not be everyone's cup of tea, those who appreciate a more structured pillow will find these to be a reliable choice for a supportive and comfortable night's sleep.","Reviewed in the United Kingdom on 14 October 2023","5.0 out of 5 stars"
"63",63,"Pillow","Silentnight Deep Sleep Pillows 4 Pack - Medium Support Bed Pillows for Side, Front, Stomach and Back Sleepers Comfortable - Machine Washable and Hypoallergenic - Pack of 4","C. J. Elliott","Good value for money and very soft","Reviewed in the United Kingdom on 4 March 2024","3.0 out of 5 stars"
"64",64,"Pillow","Silentnight Deep Sleep Pillows 4 Pack - Medium Support Bed Pillows for Side, Front, Stomach and Back Sleepers Comfortable - Machine Washable and Hypoallergenic - Pack of 4","Square Chris","Great quality","Reviewed in the United Kingdom on 16 November 2023","5.0 out of 5 stars"
"65",65,"Pillow","Silentnight Deep Sleep Pillows 4 Pack - Medium Support Bed Pillows for Side, Front, Stomach and Back Sleepers Comfortable - Machine Washable and Hypoallergenic - Pack of 4","Lisa","The quality is excellent. Firmness is just right. Not to hard. A good sized pillows. Value you for the price. Very pleased with my purchase","Reviewed in the United Kingdom on 25 November 2023","5.0 out of 5 stars"
"66",66,"Pillow","Silentnight Deep Sleep Pillows 4 Pack - Medium Support Bed Pillows for Side, Front, Stomach and Back Sleepers Comfortable - Machine Washable and Hypoallergenic - Pack of 4","J. R. Osborne","Arrived compressed so have to shake them profusely to look like a pillow. They are OK. Not the best quality and look like they wouldn't last long if used regularly...but OK for our spare room.","Reviewed in the United Kingdom on 8 March 2024","4.0 out of 5 stars"
"67",67,"Pillow","Silentnight Deep Sleep Pillows 4 Pack - Medium Support Bed Pillows for Side, Front, Stomach and Back Sleepers Comfortable - Machine Washable and Hypoallergenic - Pack of 4","Amazon Customer","Delivered on time, and the driver was friendly. The pillows were as described, and very comfortable.","Reviewed in the United Kingdom on 6 March 2024","5.0 out of 5 stars"
"68",68,"Pillow","Silentnight Deep Sleep Pillows 4 Pack - Medium Support Bed Pillows for Side, Front, Stomach and Back Sleepers Comfortable - Machine Washable and Hypoallergenic - Pack of 4","rubyslippers","Soft and cosy, they don't wrap around your head when you lay down. One is enough for me, partner prefers 2.  Have kept shape without much need for plumping","Reviewed in the United Kingdom on 14 October 2023","5.0 out of 5 stars"
"69",69,"Pillow","Silentnight Deep Sleep Pillows 4 Pack - Medium Support Bed Pillows for Side, Front, Stomach and Back Sleepers Comfortable - Machine Washable and Hypoallergenic - Pack of 4","Anne","Happy with this order","Reviewed in the United Kingdom on 24 February 2024","3.0 out of 5 stars"
"70",70,"Pillow","Silentnight Deep Sleep Pillows 4 Pack - Medium Support Bed Pillows for Side, Front, Stomach and Back Sleepers Comfortable - Machine Washable and Hypoallergenic - Pack of 4","Amazon Customer","I ordered the no.7 firmness. Amazing. I mean amazing, I had a great sleep with no neck ache (for once). Used one pillow only.  I will ask my hubby hiw he found his .... when he wakes up.  Big thing for me is that my husband snores so bad, the neighbours can sometimes hear him (how embarrassing), however, he didn't snore very much last night - I know this because he usually wakes ne up. Great pillow - thank you SilentNight x","Reviewed in the United Kingdom on 31 December 2023","5.0 out of 5 stars"
"71",71,"Pillow","Silentnight Deep Sleep Pillows 4 Pack - Medium Support Bed Pillows for Side, Front, Stomach and Back Sleepers Comfortable - Machine Washable and Hypoallergenic - Pack of 4","C. J. Elliott","The pillows turn up compressed to save space. I thought I could simply fluff the pillows up to get them back to their proper conditionThat doesn't fully work, so, I thought I had bought some very thin, hard pillowsI needed to use 2 pillows(I'm a side sleeper), but as the days progressed the pillows expanded, and became softer, so I ended up using only 1 after a weekSo, that all said, how are they?For me, pretty perfect - cool, firm enough to support my head and neck, but soft enough to be comfortableRecommended","Reviewed in the United Kingdom on 4 March 2024","4.4 out of 5 stars"
"72",72,"Pillow","Silentnight Deep Sleep Pillows 4 Pack - Medium Support Bed Pillows for Side, Front, Stomach and Back Sleepers Comfortable - Machine Washable and Hypoallergenic - Pack of 4","rubyslippers","The Silentnight Deep Sleep Firm Pillows have become a staple in my quest for a restful night's sleep. Offering firm support, these pillows are a commendable choice for those who appreciate a more structured and supportive feel during their slumber.The standout feature of these pillows is, without a doubt, the firmness. If you're seeking a pillow that doesn't flatten out under the weight of your head, these may be the ones for you. The firm support provides a noticeable lift, promoting a comfortable alignment for a variety of sleeping positions.The hypoallergenic filling is a reassuring aspect, especially for allergy-prone sleepers like myself. The pillows maintain their shape well, and the durable construction suggests they can withstand regular use without losing their supportive qualities.In terms of comfort, the pillows strike a balance. While the firmness is evident, they still manage to offer a certain level of softness. It's a pleasant middle ground that caters to individuals who prefer both support and a touch of plushness.The pillow covers are made from a soft and breathable material, enhancing the overall sleep experience. The two-pack provides convenience for those who like to switch out their pillows or have a spare for guests.However, it's worth noting that the firmness might not be suitable for everyone. If you prefer a softer, more malleable pillow, these might feel a bit too unyielding.In conclusion, the Silentnight Deep Sleep Firm Pillows deliver on their promise of firm support. While they may not be everyone's cup of tea, those who appreciate a more structured pillow will find these to be a reliable choice for a supportive and comfortable night's sleep.","Reviewed in the United Kingdom on 14 October 2023","5.0 out of 5 stars"
"73",73,"Pillow","Silentnight Deep Sleep Pillows 4 Pack - Medium Support Bed Pillows for Side, Front, Stomach and Back Sleepers Comfortable - Machine Washable and Hypoallergenic - Pack of 4","C. J. Elliott","Good value for money and very soft","Reviewed in the United Kingdom on 4 March 2024","3.0 out of 5 stars"
"74",74,"Pillow","Silentnight Deep Sleep Pillows 4 Pack - Medium Support Bed Pillows for Side, Front, Stomach and Back Sleepers Comfortable - Machine Washable and Hypoallergenic - Pack of 4","Square Chris","Great quality","Reviewed in the United Kingdom on 16 November 2023","5.0 out of 5 stars"
"75",75,"Pillow","Silentnight Deep Sleep Pillows 4 Pack - Medium Support Bed Pillows for Side, Front, Stomach and Back Sleepers Comfortable - Machine Washable and Hypoallergenic - Pack of 4","Lisa","The quality is excellent. Firmness is just right. Not to hard. A good sized pillows. Value you for the price. Very pleased with my purchase","Reviewed in the United Kingdom on 25 November 2023","5.0 out of 5 stars"
